ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060795522969877,72060793958881086,BL,,,,Signal Operations Support Specialist,102,E-3,25U1O,,0,0,1,1,0,0,23-Mar-2026
72060795522969877,72060795522969877,EQ,,,,SIGHT BORE OPT M150,102,,S45729,A,0,0,0,0,0,1,23-Mar-2026
72060795522969877,72060795522969877,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060795522969877,72060795522969877,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060795522969877,72060795522969877,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881086,72060793958881086,EQ,,,,NA SE SA AN/PSN-13(A),102,,N96248,A,0,0,0,0,0,1,23-Mar-2026
72060793958881086,72060793958881086,EQ,,,,NIGHT VIS G AN/PVS-7A,102,,N05482,A,0,0,0,0,0,2,23-Mar-2026
72060793958881086,72060793958881086,EQ,,,,TRK UT EX CAP M1152A1,102,,T37588,A,0,0,0,0,0,1,23-Mar-2026
72060793958881086,72060793958881086,EQ,,,,ANT GRP OE-254()/GRC,102,,A79381,A,0,0,0,0,0,1,23-Mar-2026
72060793958881086,72060793958881086,EQ,,,,RADIO SET AN/VRC-90F,102,,R68044,A,0,0,0,0,0,1,23-Mar-2026
72060793979034288,72060793958881081,BL,,,,Executive Officer (XO),102,O-2,12A00,,1,0,0,1,0,0,23-Mar-2026
72060793979034288,72060793979034288,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793979034288,72060793979034288,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793979034288,72060793979034288,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793979034288,72060793979034288,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881089,72060793958881081,BL,,,,Operations Sergeant,102,E-7,12B4O,,0,0,1,1,0,0,23-Mar-2026
72060793958881089,72060793958881089,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881089,72060793958881089,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881089,72060793958881089,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881089,72060793958881089,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060795522969878,72060793958881081,BL,,,,Forward Signal Support Specialist,102,E-4,25U1O,,0,0,1,1,0,0,23-Mar-2026
72060795522969878,72060795522969878,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060795522969878,72060795522969878,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060795522969878,72060795522969878,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060795522969878,72060795522969878,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881092,72060793958881081,UN,,,,Supply Section (Company Level),102,,,,0,0,3,3,0,0,23-Mar-2026
72060793958881093,72060793958881092,BL,,,,Supply Sergeant,102,E-6,92Y3O,,0,0,1,1,0,0,23-Mar-2026
72060793958881093,72060793958881093,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060793958881093,72060793958881093,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793958881093,72060793958881093,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060793958881093,72060793958881093,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060794020462660,72060793958881092,BL,,,,Supply Specialist,102,E-3,92Y1O,,0,0,1,1,0,0,23-Mar-2026
72060794020462660,72060794020462660,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
